variant,row,f1,pos_recall,top1_acc,bce,R_entropy,R_margin,R_maxprob,agree_final,mean_p,f1_sem,pos_recall_sem,top1_acc_sem,bce_sem,R_entropy_sem,R_margin_sem,R_maxprob_sem,agree_final_sem,mean_p_sem,progress,sigma,rms,sig_rel
gauss_proxy,20,0.3081086685904498,0.3887395692619652,0.35169871217169935,0.3147028514742851,0.294025074839592,0.17206228777766228,0.6159949243068695,0.9849573332719355,0.1513839326798916,0.02557915491117709,0.0389107700976646,0.02647901030336977,0.006919386591252515,0.012583053796725257,0.007807848345092601,0.024202193168188158,0.0019743164415489973,0.006573644701535978,0.42,0.9402512907981873,0.9409856104850769,0.33641660484060004
gauss_proxy,21,0.3045930527851097,0.39016151959663714,0.34053770363075087,0.31536641240119934,0.2906819899380207,0.17032240062952042,0.6145969188213348,0.9833970180513638,0.15260518796741962,0.026635240853991313,0.040381734309282255,0.02828311836339788,0.006691117066876935,0.012656891283545486,0.008338831300920448,0.025450317144277795,0.002501672469634056,0.006772440722797404,0.44,0.9303449988365173,0.9316232788562775,0.31485987013392247
gauss_proxy,22,0.30900394572070694,0.3933292571792603,0.3375804674143581,0.3159302619099617,0.2946216316521168,0.1727377998828888,0.6185988909006119,0.9876947206154647,0.15194720759987831,0.025982650306054008,0.04010428823707099,0.02693493787858678,0.006605146893873836,0.012973140292104508,0.007930735207165166,0.024870231752516393,0.0019253824720404833,0.006624594463483245,0.46,0.9189376831054688,0.9208206021785736,0.28477626578526805
gauss_proxy,23,0.3082549635176154,0.39106114692519284,0.35009286334016715,0.3144522961974144,0.29223257645964623,0.17204684168100357,0.6170518365502358,0.9872917356004272,0.15258849941194058,0.025836944790157138,0.0393250543105328,0.027448146266546052,0.006515891227725467,0.012754500686744103,0.007883287142283557,0.02465586710962617,0.0022186831939522674,0.00666805431704041,0.48,0.9058513045310974,0.9086261093616486,0.2565401878162529
gauss_proxy,24,0.31141356323945985,0.3967633431392408,0.3511580129756837,0.31500291138887404,0.2949251951277256,0.1731622913479805,0.6184898149967194,0.9892360295501479,0.15196479320526124,0.02588090979986256,0.03976119369274716,0.02740647091304149,0.0067851902447464375,0.012750408243813703,0.008139937561764099,0.02518994569347152,0.0017817430707382014,0.006743546871385649,0.5,0.8909031748771667,0.8950704777240753,0.22266626248181562
gauss_proxy,25,0.30538855145727156,0.3879569364237391,0.3441042139772219,0.3156442242860794,0.2938323022425175,0.1715123562514782,0.6180859112739563,0.9908081661919494,0.1523392057418823,0.025799910351126297,0.03931163229997807,0.027318768000688724,0.00686458405461119,0.012880236128362805,0.008088206572334581,0.025249757468074643,0.0019061018713303717,0.006801212386174292,0.52,0.8739120364189148,0.880060430765152,0.1817877156610402
gauss_proxy,26,0.3066990687798283,0.39353335787591454,0.34208556420632585,0.3145127671957016,0.296119891256094,0.17100479528307916,0.6159088921546936,0.9928488707831485,0.15134575322270394,0.026971211680881797,0.04088013498958065,0.02893987556504535,0.006951848691782831,0.01312642407446874,0.008516337445219279,0.02541626708094881,0.0015383860614677817,0.006753131941090823,0.54,0.8547062277793884,0.8636345994472504,0.1510846268567182
gauss_proxy,27,0.31035128183555294,0.39801944332352823,0.34992180383739485,0.31512228727340696,0.297231232970953,0.17236589685082435,0.6185379844903945,0.9948982282933951,0.1516793856024742,0.026368727576019723,0.04048075538743435,0.027563571917882227,0.006916962425777705,0.013014379229520102,0.008586306430969064,0.02546338483095322,0.0011362875452237953,0.006784160774693797,0.56,0.8331335186958313,0.8457909941673278,0.11156668711964443
gauss_proxy,28,0.3080372990021448,0.3964802847602901,0.3465952331566766,0.3148791542649269,0.2966251216828823,0.17161922618746758,0.6194624352455139,0.9967690900610775,0.15195104911923407,0.026440832583325222,0.04067503944195278,0.02827035698841565,0.006911512483612366,0.013250036366579947,0.00835842436361068,0.025658058850073967,0.0009385781889574539,0.006833720268320576,0.58,0.8090733289718628,0.8266038739681244,0.06942137086330696
gauss_proxy,29,0.3071023890686413,0.39349956870000063,0.34989685708692575,0.3139784890413284,0.2975437180697918,0.17286271929740907,0.6179793685674667,0.9980143097932118,0.15112869784235955,0.026423627989810704,0.04016031555201823,0.02789690100165262,0.006847683140402414,0.0133120029413705,0.008530403430298147,0.02564018815742861,0.0007434011930601362,0.0068358729954408875,0.6,0.7824497818946838,0.8063766920566559,0.03793857449680136
