trial,prompt_id,melody,seed,position,R_at,coherence_mlsp,coherence_w2s,chroma_cos,clap,logmel_l1,coherence_firstnote,bce0,n_updates,runtime_s
dev-p01-pedal-s0,1,pedal,0,10,0.09853724390268326,0.12195121951219512,0.02631578947368421,0.16588225960731506,,1.3227595090866089,0.10526315789473684,0.3861207067966461,3,1.4305338859558105
dev-p01-pedal-s1,1,pedal,1,-1,,0.1310344827586207,0.09090909090909091,0.24185127019882202,,0.0,0.3333333333333333,0.37750089168548584,0,
dev-p01-pedal-s1,1,pedal,1,10,0.10132084786891937,0.10300429184549356,0.08333333333333333,0.29167768359184265,,0.8252021074295044,0.19444444444444445,0.3788250982761383,3,1.4320144653320312
dev-p01-zigzag-s0,1,zigzag,0,-1,,0.08641975308641975,0.0,0.2693057358264923,,0.0,0.0,0.33968231081962585,0,
dev-p01-zigzag-s0,1,zigzag,0,10,0.09853724390268326,0.10989010989010989,0.02631578947368421,0.2651958167552948,,1.3376871347427368,0.07894736842105263,0.3652316629886627,3,1.4315462112426758
dev-p01-zigzag-s1,1,zigzag,1,-1,,0.041379310344827586,0.06060606060606061,0.18682192265987396,,0.0,0.09090909090909091,0.4884544312953949,0,
dev-p01-zigzag-s1,1,zigzag,1,10,0.10132084786891937,0.03968253968253968,0.05555555555555555,0.2044283151626587,,0.8187234401702881,0.08333333333333333,0.4843844175338745,3,1.4328956604003906
dev-p02-ascending-s0,2,ascending,0,-1,,0.0728744939271255,0.16,0.22541533410549164,,0.0,0.0,0.3503113389015198,0,
dev-p02-ascending-s0,2,ascending,0,10,0.09538310021162033,0.07476635514018691,0.12,0.22733928263187408,,0.42737069725990295,0.0,0.34815630316734314,3,1.4300377368927002
dev-p02-ascending-s1,2,ascending,1,-1,,0.13901345291479822,0.11627906976744186,0.275432288646698,,0.0,0.0,0.3008286654949188,0,
dev-p02-ascending-s1,2,ascending,1,10,0.09656649827957153,0.19540229885057472,0.11904761904761904,0.2695150077342987,,0.44582217931747437,0.0,0.31006115674972534,3,1.4319396018981934
dev-p02-descending-s0,2,descending,0,-1,,0.05263157894736842,0.12,0.20282959938049316,,0.0,0.0,0.340059369802475,0,
dev-p02-descending-s0,2,descending,0,10,0.09538310021162033,0.034482758620689655,0.08,0.19736067950725555,,0.41698136925697327,0.0,0.33872976899147034,3,1.4318039417266846
dev-p02-descending-s1,2,descending,1,-1,,0.14349775784753363,0.11627906976744186,0.24887746572494507,,0.0,0.0,0.28082725405693054,0,
dev-p02-descending-s1,2,descending,1,10,0.09656649827957153,0.11439114391143912,0.14285714285714285,0.2496573030948639,,0.4478268027305603,0.0,0.2836425304412842,3,1.4312293529510498
dev-p02-alternating-s0,2,alternating,0,-1,,0.014705882352941176,0.0,0.19938772916793823,,0.0,0.0,0.31964847445487976,0,
dev-p02-alternating-s0,2,alternating,0,10,0.09538310021162033,0.005494505494505495,0.0,0.20340284705162048,,0.41846853494644165,0.0,0.31536343693733215,3,1.4322903156280518
dev-p02-alternating-s1,2,alternating,1,-1,,0.2850678733031674,0.2972972972972973,0.3174554705619812,,0.0,0.0,0.22668208181858063,0,
dev-p02-alternating-s1,2,alternating,1,10,0.09656649827957153,0.24253731343283583,0.3055555555555556,0.3214748203754425,,0.4343569278717041,0.0,0.23024031519889832,3,1.4314002990722656
dev-p02-pedal-s0,2,pedal,0,-1,,0.024291497975708502,0.0,0.2418992519378662,,0.0,0.04,0.38507241010665894,0,
dev-p02-pedal-s0,2,pedal,0,10,0.09538310021162033,0.023255813953488372,0.03125,0.2350846230983734,,0.4326474368572235,0.03125,0.38330039381980896,3,1.4302551746368408
dev-p02-pedal-s1,2,pedal,1,-1,,0.6098654708520179,0.4418604651162791,0.4795319736003876,,0.0,0.9534883720930233,0.24612469971179962,0,
dev-p02-pedal-s1,2,pedal,1,10,0.09656649827957153,0.5075757575757576,0.42857142857142855,0.4799807369709015,,0.43461552262306213,0.9047619047619048,0.2404366284608841,3,1.4303736686706543
dev-p02-zigzag-s0,2,zigzag,0,-1,,0.020242914979757085,0.04,0.19236896932125092,,0.0,0.0,0.3185248076915741,0,
dev-p02-zigzag-s0,2,zigzag,0,10,0.09538310021162033,0.01293103448275862,0.0,0.20033419132232666,,0.4225183427333832,0.0,0.3139488399028778,3,1.4324696063995361
dev-p02-zigzag-s1,2,zigzag,1,-1,,0.17937219730941703,0.23255813953488372,0.3035476505756378,,0.0,0.0,0.23841464519500732,0,
dev-p02-zigzag-s1,2,zigzag,1,10,0.09656649827957153,0.15891472868217055,0.21428571428571427,0.30862948298454285,,0.43795740604400635,0.0,0.23929235339164734,3,1.4300329685211182
dev-p03-ascending-s0,3,ascending,0,-1,,0.23943661971830985,0.027777777777777776,0.34806880354881287,,0.0,0.027777777777777776,0.29505836963653564,0,
dev-p03-ascending-s0,3,ascending,0,10,0.0902373269200325,0.06547619047619048,0.0,0.3135683238506317,,1.0876637697219849,0.0,0.3080141544342041,3,1.4323365688323975
dev-p03-ascending-s1,3,ascending,1,-1,,0.07364341085271318,0.15625,0.21671757102012634,,0.0,0.0,0.35535335540771484,0,
dev-p03-ascending-s1,3,ascending,1,10,0.09221959859132767,0.07633587786259542,0.11627906976744186,0.21645036339759827,,0.49772584438323975,0.0,0.3615550696849823,3,1.4330639839172363
dev-p03-descending-s0,3,descending,0,-1,,0.1784037558685446,0.1111111111111111,0.28363731503486633,,0.0,0.027777777777777776,0.30377092957496643,0,
dev-p03-descending-s0,3,descending,0,10,0.0902373269200325,0.2246376811594203,0.0975609756097561,0.24944081902503967,,1.0806227922439575,0.0975609756097561,0.3508473038673401,3,1.4301540851593018
dev-p03-descending-s1,3,descending,1,-1,,0.12790697674418605,0.15625,0.2562698423862457,,0.0,0.0,0.3595183491706848,0,
dev-p03-descending-s1,3,descending,1,10,0.09221959859132767,0.10424710424710425,0.13953488372093023,0.2600628137588501,,0.553906261920929,0.0,0.37758514285087585,3,1.4324615001678467
dev-p03-alternating-s0,3,alternating,0,-1,,0.10857142857142857,0.03333333333333333,0.30225878953933716,,0.0,0.03333333333333333,0.29154840111732483,0,
dev-p03-alternating-s0,3,alternating,0,10,0.0902373269200325,0.0,0.09090909090909091,0.2358287274837494,,1.0769495964050293,0.09090909090909091,0.3132365345954895,3,1.4321491718292236
dev-p03-alternating-s1,3,alternating,1,-1,,0.09302325581395349,0.19230769230769232,0.27882182598114014,,0.0,0.0,0.36285194754600525,0,
dev-p03-alternating-s1,3,alternating,1,10,0.09221959859132767,0.10185185185185185,0.2702702702702703,0.2657286524772644,,0.513761043548584,0.0,0.36821821331977844,3,1.4325098991394043
dev-p03-pedal-s0,3,pedal,0,-1,,0.1643192488262911,0.0,0.3060218095779419,,0.0,0.08333333333333333,0.321476012468338,0,
dev-p03-pedal-s0,3,pedal,0,10,0.0902373269200325,0.02112676056338028,0.0,0.20363503694534302,,1.083091378211975,0.0,0.388334721326828,3,1.4311647415161133
dev-p03-pedal-s1,3,pedal,1,-1,,0.21705426356589147,0.3125,0.27386894822120667,,0.0,0.4375,0.36336177587509155,0,
dev-p03-pedal-s1,3,pedal,1,10,0.09221959859132767,0.213768115942029,0.23255813953488372,0.2789877653121948,,0.5116391181945801,0.32558139534883723,0.3593239188194275,3,1.432220458984375
dev-p03-zigzag-s0,3,zigzag,0,-1,,0.023474178403755867,0.05555555555555555,0.17217792570590973,,0.0,0.027777777777777776,0.3475836217403412,0,
dev-p03-zigzag-s0,3,zigzag,0,10,0.0902373269200325,0.11046511627906977,0.2,0.18898549675941467,,1.0618418455123901,0.1,0.3752751350402832,3,1.4321682453155518
dev-p03-zigzag-s1,3,zigzag,1,-1,,0.2558139534883721,0.0,0.3651409149169922,,0.0,0.0,0.34796619415283203,0,
dev-p03-zigzag-s1,3,zigzag,1,10,0.09221959859132767,0.30916030534351147,0.0,0.39848247170448303,,0.5390270948410034,0.0,0.35637781023979187,3,1.4323766231536865
dev-p04-ascending-s0,4,ascending,0,-1,,0.10091743119266056,0.023809523809523808,0.13194768130779266,,0.0,0.0,0.5228676199913025,0,
dev-p04-ascending-s0,4,ascending,0,10,0.09401974827051163,0.0,0.0,0.13345028460025787,,0.6205807328224182,0.0,0.5399132966995239,3,1.4329068660736084
dev-p04-ascending-s1,4,ascending,1,-1,,0.056074766355140186,0.047619047619047616,0.17277875542640686,,0.0,0.023809523809523808,0.5232183933258057,0,
dev-p04-ascending-s1,4,ascending,1,10,0.09613151103258133,0.09061488673139159,0.023809523809523808,0.19264693558216095,,0.9835371375083923,0.14285714285714285,0.5126099586486816,3,1.4296891689300537
dev-p04-descending-s0,4,descending,0,-1,,0.04892966360856269,0.047619047619047616,0.1545707881450653,,0.0,0.0,0.4759944975376129,0,
dev-p04-descending-s0,4,descending,0,10,0.09401974827051163,0.0,0.0,0.1639321744441986,,0.5738716125488281,0.0,0.4893398880958557,3,1.4321951866149902
dev-p04-descending-s1,4,descending,1,-1,,0.059190031152647975,0.023809523809523808,0.09012489020824432,,0.0,0.023809523809523808,0.5099028944969177,0,
dev-p04-descending-s1,4,descending,1,10,0.09613151103258133,0.06050955414012739,0.0,0.12338315695524216,,0.8983822464942932,0.0,0.5094322562217712,3,1.4310369491577148
dev-p04-alternating-s0,4,alternating,0,-1,,0.02112676056338028,0.027777777777777776,0.11837562173604965,,0.0,0.0,0.482079416513443,0,
dev-p04-alternating-s0,4,alternating,0,10,0.09401974827051163,0.0,0.0,0.12244971841573715,,0.5783625841140747,0.0,0.48552364110946655,3,1.4321346282958984
dev-p04-alternating-s1,4,alternating,1,-1,,0.08273381294964029,0.027777777777777776,0.12439844012260437,,0.0,0.0,0.5204755067825317,0,
dev-p04-alternating-s1,4,alternating,1,10,0.09613151103258133,0.1797752808988764,0.0,0.2008698582649231,,1.098252296447754,0.02702702702702703,0.45932742953300476,3,1.4325778484344482
dev-p04-pedal-s0,4,pedal,0,-1,,0.021406727828746176,0.0,0.10645780712366104,,0.0,0.0,0.41584843397140503,0,
dev-p04-pedal-s0,4,pedal,0,10,0.09401974827051163,0.0,0.0,0.11675304919481277,,0.5669686794281006,0.0,0.4263201653957367,3,1.4328699111938477
dev-p04-pedal-s1,4,pedal,1,-1,,0.012461059190031152,0.023809523809523808,0.059570927172899246,,0.0,0.0,0.4734693169593811,0,
dev-p04-pedal-s1,4,pedal,1,10,0.09613151103258133,0.08227848101265822,0.024390243902439025,0.14659634232521057,,1.0162227153778076,0.14634146341463414,0.398433655500412,3,1.4319000244140625
dev-p04-zigzag-s0,4,zigzag,0,-1,,0.04281345565749235,0.023809523809523808,0.12490976601839066,,0.0,0.0,0.5285184383392334,0,
dev-p04-zigzag-s0,4,zigzag,0,10,0.09401974827051163,0.013289036544850499,0.0,0.1305079162120819,,0.5796090364456177,0.0,0.5453919768333435,3,1.4324092864990234
dev-p04-zigzag-s1,4,zigzag,1,-1,,0.006230529595015576,0.023809523809523808,0.0779525488615036,,0.0,0.023809523809523808,0.5584558844566345,0,
dev-p04-zigzag-s1,4,zigzag,1,10,0.09613151103258133,0.019672131147540985,0.06976744186046512,0.07614671438932419,,0.9959448575973511,0.0,0.555388331413269,3,1.43208646774292
