path,prompt,melody,cond,coherence_true,coherence_shuffled_mean,coherence_shuffled_max,voiced_fraction
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_combined.wav,prompt3,ascending,combined,0.15925925925925927,0.07643097643097642,0.18518518518518517,0.7848837209302325
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_itc.wav,prompt3,ascending,itc,0.10884353741496598,0.08101422387136673,0.22789115646258504,0.8546511627906976
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_high.wav,prompt3,ascending,probe_0.1,0.2282958199356913,0.07015492546039169,0.17363344051446947,0.9040697674418605
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_low.wav,prompt3,ascending,probe_0.03,0.1288135593220339,0.07919876733436056,0.2271186440677966,0.8575581395348837
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_mid.wav,prompt3,ascending,probe_0.05,0.25263157894736843,0.06794258373205742,0.16842105263157894,0.8284883720930233
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_probe_strong.wav,prompt3,ascending,probe_0.2,0.2576271186440678,0.0674884437596302,0.16610169491525423,0.8575581395348837
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_baseline.wav,prompt3,descending,baseline,0.2550335570469799,0.0677242220866382,0.16778523489932887,0.8662790697674418
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_combined.wav,prompt3,descending,combined,0.09818181818181818,0.08198347107438016,0.24363636363636362,0.7994186046511628
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_itc.wav,prompt3,descending,itc,0.26013513513513514,0.06726044226044225,0.18243243243243243,0.8604651162790697
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_high.wav,prompt3,descending,probe_0.1,0.2422145328719723,0.06888958792072979,0.18339100346020762,0.8401162790697675
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_low.wav,prompt3,descending,probe_0.03,0.09688581314878893,0.08210128971374647,0.2041522491349481,0.8401162790697675
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_mid.wav,prompt3,descending,probe_0.05,0.13414634146341464,0.0787139689578714,0.21138211382113822,0.7151162790697675
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_descending_probe_strong.wav,prompt3,descending,probe_0.2,0.25418060200668896,0.06780176345393737,0.1806020066889632,0.8691860465116279
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_baseline.wav,prompt4,alternating,baseline,0.09829059829059829,0.08197358197358197,0.23504273504273504,0.7774086378737541
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_combined.wav,prompt4,alternating,combined,0.4721030042918455,0.04799063597346858,0.22746781115879827,0.7740863787375415
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_itc.wav,prompt4,alternating,itc,0.24083769633507854,0.06901475487862922,0.2198952879581152,0.6345514950166113
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_high.wav,prompt4,alternating,probe_0.1,0.4024390243902439,0.05432372505543238,0.21544715447154472,0.8172757475083057
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_low.wav,prompt4,alternating,probe_0.03,0.3755274261603376,0.056770233985423864,0.24472573839662448,0.7873754152823921
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_mid.wav,prompt4,alternating,probe_0.05,0.4714828897338403,0.048047010024196334,0.22813688212927757,0.8737541528239202
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_alternating_probe_strong.wav,prompt4,alternating,probe_0.2,0.42857142857142855,0.051948051948051945,0.24423963133640553,0.7209302325581395
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_baseline.wav,prompt4,ascending,baseline,0.19172932330827067,0.07347915242652085,0.22932330827067668,0.7732558139534884
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_combined.wav,prompt4,ascending,combined,0.3042071197411003,0.06325389820535451,0.13915857605177995,0.8982558139534884
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_itc.wav,prompt4,ascending,itc,0.34893617021276596,0.05918762088974854,0.17872340425531916,0.6831395348837209
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_high.wav,prompt4,ascending,probe_0.1,0.2819672131147541,0.06527570789865872,0.16065573770491803,0.8866279069767442
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_low.wav,prompt4,ascending,probe_0.03,0.29605263157894735,0.06399521531100479,0.20065789473684212,0.8837209302325582
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_mid.wav,prompt4,ascending,probe_0.05,0.31679389312977096,0.06210964607911173,0.1717557251908397,0.7616279069767442
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt4_ascending_probe_strong.wav,prompt4,ascending,probe_0.2,0.22929936305732485,0.07006369426751592,0.1624203821656051,0.9127906976744186
