path,melody,cond,prompt
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_alternating_probe_low.wav,alternating,probe_0.03,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_alternating_probe_mid.wav,alternating,probe_0.05,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_alternating_probe_strong.wav,alternating,probe_0.2,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_baseline.wav,ascending,baseline,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_combined.wav,ascending,combined,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_itc.wav,ascending,itc,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_probe_high.wav,ascending,probe_0.1,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_probe_low.wav,ascending,probe_0.03,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_probe_mid.wav,ascending,probe_0.05,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_ascending_probe_strong.wav,ascending,probe_0.2,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_baseline.wav,descending,baseline,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_combined.wav,descending,combined,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_itc.wav,descending,itc,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_probe_high.wav,descending,probe_0.1,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_probe_low.wav,descending,probe_0.03,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_probe_mid.wav,descending,probe_0.05,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt5_descending_probe_strong.wav,descending,probe_0.2,prompt5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_baseline.wav,alternating,baseline,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_combined.wav,alternating,combined,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_itc.wav,alternating,itc,prompt6
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt6_alternating_probe_high.wav,alternating,probe_0.1,prompt6
