coh_true,coh_first,coh_best_const,best_const_pc,frac_F,voiced_cov,hist,slot_acc,file,method,melody,prompt
0.2275449101796407,0.005988023952095809,0.7544910179640718,0,0.005988023952095809,0.48546511627906974,"[0.754, 0.018, 0.0, 0.132, 0.012, 0.006, 0.0, 0.072, 0.006, 0.0, 0.0, 0.0]","[nan, nan, 0.0, 0.0, 0.9487179487179487, 0.0, 0.037037037037037035, 0.0]",prompt2_ascending_baseline.wav,baseline,ascending,2
0.43243243243243246,0.6283783783783784,0.6283783783783784,5,0.729064039408867,0.43023255813953487,"[0.212, 0.059, 0.0, 0.0, 0.0, 0.729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[nan, nan, 0.0, 0.0, 0.9565217391304348, 0.391304347826087, 0.0, 1.0]",prompt2_ascending_combined.wav,combined,ascending,2
0.21511627906976744,0.0,0.5406976744186046,0,0.0,0.5,"[0.505, 0.053, 0.084, 0.305, 0.053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, nan, 0.0, 1.0, 0.0, 0.03125, nan]",prompt2_ascending_itc.wav,itc,ascending,2
0.3688888888888889,0.5511111111111111,0.5511111111111111,5,0.6517241379310345,0.6540697674418605,"[0.086, 0.138, 0.0, 0.0, 0.0, 0.652, 0.0, 0.0, 0.0, 0.0, 0.124, 0.0]","[0.5151515151515151, 0.0, 0.0, 0.0, 0.45161290322580644, 0.8636363636363636, 0.0, 1.0]",prompt2_ascending_probe_high.wav,probe_high,ascending,2
0.33516483516483514,0.46703296703296704,0.46703296703296704,5,0.5707964601769911,0.5290697674418605,"[0.261, 0.088, 0.0, 0.0, 0.0, 0.571, 0.0, 0.0, 0.0, 0.004, 0.071, 0.004]","[1.0, 0.0, 0.0, 0.0, 0.6216216216216216, 0.07142857142857142, 0.0, 1.0]",prompt2_ascending_probe_low.wav,probe_low,ascending,2
0.4,0.4666666666666667,0.4666666666666667,5,0.5625,0.6104651162790697,"[0.129, 0.148, 0.0, 0.0, 0.0, 0.562, 0.004, 0.012, 0.0, 0.0, 0.145, 0.0]","[0.43333333333333335, 0.0, 0.0, 0.0, 0.5277777777777778, 0.7727272727272727, 0.0, 0.8974358974358975]",prompt2_ascending_probe_mid.wav,probe_mid,ascending,2
0.3893805309734513,0.5796460176991151,0.5796460176991151,5,0.6735395189003437,0.6569767441860465,"[0.089, 0.134, 0.0, 0.0, 0.0, 0.674, 0.0, 0.0, 0.0, 0.0, 0.103, 0.0]","[0.6296296296296297, 0.0, 0.0, 0.0, 0.45161290322580644, 0.8181818181818182, 0.0, 1.0]",prompt2_ascending_probe_strong.wav,probe_strong,ascending,2
0.25149700598802394,0.005988023952095809,0.7544910179640718,0,0.005988023952095809,0.48546511627906974,"[0.754, 0.018, 0.0, 0.132, 0.012, 0.006, 0.0, 0.072, 0.006, 0.0, 0.0, 0.0]","[nan, nan, 0.0, 1.0, 0.0, 0.0, 0.4074074074074074, 0.0]",prompt2_descending_baseline.wav,baseline,descending,2
0.3026315789473684,0.6776315789473685,0.6776315789473685,5,0.7688679245283019,0.4418604651162791,"[0.085, 0.146, 0.0, 0.0, 0.0, 0.769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, nan, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt2_descending_combined.wav,combined,descending,2
0.2727272727272727,0.0,0.6742424242424242,0,0.0,0.38372093023255816,"[0.674, 0.023, 0.0, 0.303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, nan, 1.0, 0.0, 0.0, 0.0, nan]",prompt2_descending_itc.wav,itc,descending,2
